CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Rem	Instructor	Date (MM/DD)	Location	Attribute
10087	BIOL	101	04	H	4.000	Concepts/Apps in Biolo	MWF	12:30 pm-01:20 pm	76	8	Heather Nicole Pritchard (P)	08/23-12/14	HWWE 217	 
10088	BIOL	101	05	H	4.000	Concepts/Apps in Biology I	MWF	01:30 pm-02:20 pm	76	4	Heather Nicole Pritchard (P)	08/23-12/14	HWWE 217	 
10089	BIOL	101	06	H	4.000	Concepts/Apps in Biology I	TR	03:35 pm-04:50 pm	76	4	Miranda Lynette McManus (P)	08/23-12/14	HWWE 213	 
10090	BIOL	101	07	H	4.000	Concepts/Apps in Biology I	TR	07:00 pm-08:15 pm	80	20	Walter Marshall Blair (P)	08/23-12/14	HWWE 213	 
10091	BIOL	101L	05	M	0.000	Concepts/Apps in Biology I Lab	M	01:30 pm-04:30 pm	24	5	John S Peters (P), Sarah Elizabeth Kell , Brian G Scholtens	08/23-12/14	LCTR 339	 
10100	BIOL	101L	07	M	0.000	Concepts/Apps in Biology I Lab	M	04:30 pm-07:30 pm	24	3	John S Peters (P), Elizabeth Fraser Gugliotti , Brian G Scholtens	08/23-12/14	LCTR 339	 
10101	BIOL	101L	09	M	0.000	Concepts/Apps in Biology I Lab	M	07:30 pm-10:30 pm	24	4	John S Peters (P), Elizabeth Fraser Gugliotti , Brian G Scholtens	08/23-12/14	LCTR 339	 
10092	BIOL	101L	11	M	0.000	Concepts/Apps in Biology I Lab	T	07:30 am-10:30 am	24	2	John S Peters (P), Sarah Elizabeth Kell , Brian G Scholtens	08/23-12/14	LCTR 339	 
10093	BIOL	101L	13	M	0.000	Concepts/Apps in Biology I Lab	T	10:30 am-01:30 pm	24	1	John S Peters (P), Brian J Palus , Brian G Scholtens	08/23-12/14	LCTR 339	 
10094	BIOL	101L	15	M	0.000	Concepts/Apps in Biology I Lab	T	01:30 pm-04:30 pm	24	2	John S Peters (P), Elizabeth Fraser Gugliotti , Brian G Scholtens	08/23-12/14	LCTR 339	 
10102	BIOL	101L	19	M	0.000	Concepts/Apps in Biology I Lab	T	07:30 pm-10:30 pm	24	11	John S Peters (P), Brian J Palus , Brian G Scholtens	08/23-12/14	LCTR 339	 
10096	BIOL	101L	23	M	0.000	Concepts/Apps in Biology I Lab	W	10:30 am-01:30 pm	24	8	John S Peters (P), Brian G Scholtens , Jordan Noelle Taylor	08/23-12/14	LCTR 339	 
10095	BIOL	101L	25	M	0.000	Concepts/Apps in Biology I Lab	W	01:30 pm-04:30 pm	24	3	John S Peters (P), Brian G Scholtens , Jordan Noelle Taylor	08/23-12/14	LCTR 339	 
10103	BIOL	101L	27	M	0.000	Concepts/Apps in Biology I Lab	W	04:30 pm-07:30 pm	24	3	John S Peters (P), Brian G Scholtens , Jordan Noelle Taylor	08/23-12/14	LCTR 339	 
10097	BIOL	101L	29	M	0.000	Concepts/Apps in Biology I Lab	W	07:30 pm-10:30 pm	24	7	John S Peters (P), Catharine Evelyn Parker , Brian G Scholtens	08/23-12/14	LCTR 339	 
10098	BIOL	101L	33	M	0.000	Concepts/Apps in Biology I Lab	R	10:30 am-01:30 pm	24	4	John S Peters (P), Brian J Palus , Brian G Scholtens	08/23-12/14	LCTR 339	 
10099	BIOL	101L	35	M	0.000	Concepts/Apps in Biology I Lab	R	01:30 pm-04:30 pm	24	4	John S Peters (P), Sarah Elizabeth Kell , Brian G Scholtens	08/23-12/14	LCTR 339	 
11755	BIOL	101L	37	M	0.000	Concepts/Apps in Biology I Lab	R	04:30 pm-07:30 pm	24	7	John S Peters (P), Catharine Evelyn Parker , Brian G Scholtens	08/23-12/14	LCTR 339	 
10104	BIOL	102	01	H	4.000	Concepts/Apps in Biology II	MWF	08:30 am-09:20 am	42	3	Ashley Lynn Lavender (P)	08/23-12/14	HWWE 217	 
10105	BIOL	102	02	H	4.000	Concepts/Apps in Biology II	MWF	12:30 pm-01:20 pm	80	4	Courtney Elizabeth Gerstenmaier (P)	08/23-12/14	HWWE 213	 
10106	BIOL	102	03	H	4.000	Concepts/Apps in Biology II	TR	05:30 pm-06:45 pm	44	-1	Walter Marshall Blair (P)	08/23-12/14	HWWE 213	 
10107	BIOL	102L	05	M	0.000	Concepts/Apps in Biol II Lab	M	01:30 pm-04:30 pm	24	2	Brian G Scholtens (P), Lorenzo Fruscella , John S Peters	08/23-12/14	LCTR 341	 
10109	BIOL	102L	07	M	0.000	Concepts/Apps in Biol II Lab	M	04:30 pm-07:30 pm	24	1	Brian G Scholtens (P), Lorenzo Fruscella , John S Peters	08/23-12/14	LCTR 341	 
10110	BIOL	102L	09	M	0.000	Concepts/Apps in Biol II Lab	M	07:30 pm-10:30 pm	24	0	Brian G Scholtens (P), Lorenzo Fruscella , John S Peters	08/23-12/14	LCTR 341	 
10111	BIOL	102L	17	M	0.000	Concepts/Apps in Biol II Lab	T	04:30 pm-07:30 pm	24	1	Brian G Scholtens (P), Jefferson Scott Canann , John S Peters	08/23-12/14	LCTR 341	 
13694	BIOL	102L	19	M	0.000	Concepts/Apps in Biol II Lab	T	07:30 pm-10:30 pm	24	1	Brian G Scholtens (P), Jefferson Scott Canann , John S Peters	08/23-12/14	LCTR 341	 
10108	BIOL	102L	25	M	0.000	Concepts/Apps in Biol II Lab	W	01:30 pm-04:30 pm	24	0	Brian G Scholtens (P), John S Peters , Graham Wagner	08/23-12/14	LCTR 341	 
10113	BIOL	102L	27	M	0.000	Concepts/Apps in Biol II Lab	W	04:30 pm-07:30 pm	24	3	Brian G Scholtens (P), John S Peters , Graham Wagner	08/23-12/14	LCTR 341	 
10114	BIOL	111	01	M	3.000	Intro Cell Molec Biology	MWF	09:00 am-09:50 am	40	5	Mark D Lazzaro (P)	08/23-12/14	SSMB 138	 
10115	BIOL	111	02	H	3.000	Intro Cell Molec Biology	TR	12:45 pm-02:00 pm	80	2	Miranda Lynette McManus (P)	08/23-12/14	HWWE 213	 
10116	BIOL	111	03	H	3.000	Intro Cell Molec Biology	MW	05:30 pm-06:45 pm	80	13	Farahdiba Jafri (P)	08/23-12/14	HWWE 213	 
10117	BIOL	111	04	H	3.000	Intro Cell Molec Biology	MWF	01:30 pm-02:20 pm	40	2	Farahdiba Jafri (P)	08/23-12/14	HWWE 211	 
11981	BIOL	111	05	H	3.000	Intro Cell Molec Biology	MWF	11:30 am-12:20 pm	40	1	Deborah A Bidwell (P)	08/23-12/14	HWWE 217	 
10118	BIOL	111	06	H	3.000	LC3A: Intro Cell Molec Biology	TR	08:30 am-09:45 am	22	0	Kathleen Elizabeth Janech (P)	08/23-12/14	HWWE 217	Learning Community 3A
11982	BIOL	111	07	H	3.000	Intro Cell Molec Biology	MWF	08:30 am-09:20 am	40	1	Courtney Elizabeth Gerstenmaier (P)	08/23-12/14	HWWE 213	 
12853	BIOL	111	09	H	3.000	LC3D: Intro Cell Molec Biology	TR	08:30 am-09:45 am	22	5	Kathleen Elizabeth Janech (P)	08/23-12/14	HWWE 217	Learning Community 3D
11776	BIOL	111	11	H	3.000	Intro Cell Molec Biology	TR	08:30 am-09:45 am	40	3	Kathleen Elizabeth Janech (P)	08/23-12/14	HWWE 217	 
11782	BIOL	111	12	H	3.000	Intro Cell Molec Biology	TR	08:30 am-09:45 am	40	14	Aarti Narang (P)	08/23-12/14	HWWE 213	 
12040	BIOL	111	13	H	3.000	LC7A: Intro Cell Molec Biology	TR	11:20 am-12:35 pm	20	1	Miranda Lynette McManus (P)	08/23-12/14	HWWE 213	Learning Community 7A
11160	BIOL	111	14	H	3.000	LC7B: Intro Cell Molec Biology	TR	11:20 am-12:35 pm	20	3	Miranda Lynette McManus (P)	08/23-12/14	HWWE 213	Learning Community 7B
11740	BIOL	111	15	H	3.000	Intro Cell Molec Biology	MWF	01:30 pm-02:20 pm	80	23	Mauhamad Baarine (P)	08/23-12/14	HWWE 213	 
11987	BIOL	111	16	H	3.000	Intro Cell Molec Biology	MWF	09:30 am-10:20 am	78	4	Deborah A Bidwell (P)	08/23-12/14	HWWE 217	 
13615	BIOL	111	17	M	3.000	LC 10:Intro Cell Molec Biology	MWF	02:00 pm-02:50 pm	20	1	Christopher A Korey (P)	08/23-12/14	SSMB 138	Learning Community 10
