CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Rem	Instructor	Date (MM/DD)	Location	Attribute
23536	EVSS	506	01	H	3.000	Conservation Biology	MWF	11:30 am-12:20 pm	5	4	Christopher John Freeman (P)	01/08-05/02	HWWE 305	 
22253	EVSS	549	01	M	4.000	Geographic Information Systems	M	05:15 pm-08:15 pm	6	1	Enma L Paz (P)	01/08-05/02	SSMB 255	 
22254	EVSS	549L	01	M	0.000	Geographic Information Systems	W	05:15 pm-08:15 pm	6	1	Enma L Paz (P)	01/08-05/02	SSMB 255	 
23490	EVSS	557	01	M	3.000	Satellite Meteorology	MW	04:00 pm-05:15 pm	10	8	Bernhard L Lindner (P)	01/08-05/02	LONG 219	 
23541	EVSS	602	01	M	3.000	Public Policy	R	05:30 pm-08:15 pm	10	7	LaTasha C DeHaan (P)	01/08-05/02	ECTR 115	Online & Face-to-Face Class
 	 	 	 	 	 	 	 	ONL	 	 	LaTasha C DeHaan (P)	01/08-05/02	ONLINE	Online & Face-to-Face Class
23538	EVSS	611	01	M	3.000	Graduate Core Seminar	T	05:30 pm-08:30 pm	10	1	Pamela Susan Lovelace (P)	01/08-05/02	SSMB 200	 
23533	EVSS	622	01	G	4.000	Ecology of Marine Organisms	MW	08:30 am-10:30 am	6	5	Craig J Plante (P)	01/08-05/02	GMLM 101	 
23535	EVSS	622L	02	G	0.000	Ecology of Marine Organisms	T	02:00 pm-05:00 pm	3	2	Craig J Plante (P)	01/08-05/02	GMLM 101	 
21573	EVSS	624	01	G	4.000	Biometry	TR	09:00 am-10:15 am	9	3	Allan Edgar Strand (P)	01/08-05/02	GMLM 101	 
21574	EVSS	624L	01	G	0.000	Biometry	T	10:30 am-01:30 pm	3	0	Allan Edgar Strand (P)	01/08-05/02	GMLM 101	 
21575	EVSS	624L	02	G	0.000	Biometry	R	10:30 am-01:30 pm	6	3	Allan Edgar Strand (P)	01/08-05/02	GMLM 101	 
22152	EVSS	632	01	M	3.000	Soc Sci Methods in Env Studies	W	05:30 pm-08:30 pm	16	4	Annette M Watson (P)	01/08-05/02	ECTR 111	 
23540	EVSS	639	01	M	3.000	Wetlands and Watersheds	TR	12:15 pm-01:30 pm	10	4	Timothy J Callahan (P)	01/08-05/02	SSMB 255	 
