CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Rem	Instructor	Date (MM/DD)	Location	Attribute
20989	EVSS	601	01	M	3.000	Econ Theory For Policy Analysi	TR	04:00 pm-05:15 pm	15	4	Raymond J Rhodes (P)	01/10-05/04	ECTR 219	 
20990	EVSS	602	01	M	3.000	Public Policy	TR	01:40 pm-02:55 pm	15	10	Lindeke S Mills (P)	01/10-05/04	MYBK 105	 
22422	EVSS	602	02	M	3.000	Public Policy	M	05:30 pm-08:15 pm	5	4	Mark E Tompkins (P)	01/10-05/04	MYBK 306	 
20991	EVSS	607	01	M	3.000	Administrative Law	MW	04:00 pm-05:15 pm	15	9	Lindeke S Mills (P)	01/10-05/04	MYBK 105	 
20992	EVSS	624	01	G	4.000	Biometry	TR	09:00 am-10:25 am	6	4	Allan Edgar Strand (P)	01/10-05/04	GMLM 101	 
20993	EVSS	624L	01	G	0.000	Biometry	T	10:30 am-01:30 pm	3	1	Allan Edgar Strand (P)	01/10-05/04	GMLM 101	 
22423	EVSS	624L	02	G	0.000	Biometry	R	10:30 am-01:30 pm	3	3	Allan Edgar Strand (P)	01/10-05/04	GMLM 101	 
20994	EVSS	629	01	M	3.000	Conservation Biology	TR	01:40 pm-02:55 pm	13	2	Maria A Whitehead (P)	01/10-05/04	NSCB 140	 
20995	EVSS	630	01	M	3.000	Natural Resources Law And Poli	TR	04:00 pm-05:15 pm	15	4	Lindeke S Mills (P)	01/10-05/04	MYBK 320	 
22424	EVSS	639	01	M	3.000	Wetlands and Watersheds	M	02:00 pm-05:00 pm	12	4	Timothy J Callahan (P), Vijay M Vulava	01/10-05/04	RHSC 112	 
22466	EVSS	642	01	M	4.000	Geological App Of Remote Sensi	T	02:00 pm-05:00 pm	12	6	Norman S Levine (P)	01/10-05/04	NSCB 241	 
22468	EVSS	642L	01	M	0.000	Geological App of Remote Sens	R	02:00 pm-05:00 pm	12	6	Norman S Levine (P)	01/10-05/04	NSCB 241	 
21000	EVSS	646	01	M	1.000	Graduate Core Seminar	T	07:00 pm-07:50 pm	15	0	Pamela Susan Lovelace (P)	01/10-05/04	ECTR 202	 
21001	EVSS	649	01	M	4.000	Geographic Information Systems	T	02:00 pm-05:00 pm	12	5	Khalid A Ali (P)	01/10-05/04	NSCB 241	 
21002	EVSS	649L	01	M	0.000	Geographic Information Systems	W	02:00 pm-05:00 pm	12	5	Briget C Doyle (P)	01/10-05/04	NSCB 241	 
