CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Rem	Instructor	Date (MM/DD)	Location	Attribute
10494	EVSS	601	01	M	3.000	Economic Theory for Policy Analysis	MW	04:00 pm-05:15 pm	14	0	Raymond J Rhodes (P)	08/23-12/14	ECTR 109	 
10495	EVSS	602	01	M	3.000	Public Policy	TR	01:40 pm-02:55 pm	14	0	Lindeke S Mills (P)	08/23-12/14	LCTR 346	 
10497	EVSS	605	01	M	3.000	Environmental Law and Regulatory Policy	MW	04:00 pm-05:15 pm	15	7	Lindeke S Mills (P)	08/23-12/14	ECTR 110	 
10499	EVSS	610	01	M	3.000	Environmental Biology	TR	03:05 pm-04:20 pm	15	6	Matthew Thomas Rutter (P)	08/23-12/14	MYBK 105	 
10501	EVSS	627	01	G	4.000	Marine Tetrapod Biology	T	01:30 pm-04:30 pm	5	-1	David William Owens (P)	08/23-12/14	GMLM 202	 
10502	EVSS	627L	01	G	0.000	Marine Tetrapod Biology	R	01:30 pm-04:30 pm	5	-1	David William Owens (P)	08/23-12/14	GMLM 202	 
14688	EVSS	631	01	M	3.000	Pollution in the Environment	TR	12:15 pm-01:30 pm	10	4	Vijay M Vulava (P)	08/23-12/14	RHSC 341	 
14355	EVSS	633	01	L	3.000	Urban Planning	W	06:00 pm-08:45 pm	5	3	Kevin P Keenan (P)	08/23-12/14	NORT 104	 
10506	EVSS	640	01	M	3.000	Earth System Science	MW	05:30 pm-06:45 pm	16	2	Steven C Jaume' (P)	08/23-12/14	RHSC 203	 
14354	EVSS	645	01	M	3.000	Coastal Issues & Processes	MW	02:00 pm-03:15 pm	15	3	Michael S Harris (P)	08/23-12/14	RHSC 112	 
10509	EVSS	646	01	M	2.000	Graduate Core Seminar	T	04:30 pm-06:20 pm	15	1	Pamela Susan Lovelace (P), Timothy J Callahan	08/23-12/14	RHSC 112	 
10510	EVSS	649	01	M	4.000	Geographic Information Systems	M	02:00 pm-05:00 pm	12	8	Khalid A Ali (P)	08/23-12/14	NSCB 239	 
