CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Rem	Instructor	Date (MM/DD)	Location	Attribute
20619	EVSS	602	01	M	3.000	Public Policy	M	05:30 pm-08:15 pm	15	3	Matthew C Nowlin (P)	01/08-05/02	RSS 251	 
20620	EVSS	607	01	M	3.000	Administrative Law	TR	01:40 pm-02:55 pm	15	13	Lindeke S Mills (P)	01/08-05/02	MYBK 105	 
24108	EVSS	624	01	G	4.000	Biometry	TR	09:00 am-10:25 am	5	1	Allan Edgar Strand (P)	01/08-05/02	GMLM 101	 
24109	EVSS	624L	01	G	0.000	Biometry	T	10:30 am-01:30 pm	3	1	Allan Edgar Strand (P)	01/08-05/02	GMLM 101	 
24110	EVSS	624L	02	G	0.000	Biometry	R	10:30 am-01:30 pm	2	0	Allan Edgar Strand (P)	01/08-05/02	GMLM 101	 
20621	EVSS	630	01	M	3.000	Natural Resources Law And Poli	TR	04:00 pm-05:15 pm	15	-1	Lindeke S Mills (P)	01/08-05/02	MYBK 105	 
21833	EVSS	632	01	M	3.000	Soc Sci Methods in Env Studies	W	05:30 pm-08:15 pm	15	0	Annette M Watson (P)	01/08-05/02	RSS 251	 
21809	EVSS	638	01	M	4.000	Introductory Hydrogeology	W	12:00 pm-03:00 pm	5	3	Timothy J Callahan (P)	01/08-05/02	SSMB 253	 
21810	EVSS	638L	01	M	0.000	Introductory Hydrogeology	F	12:00 pm-03:00 pm	5	3	Timothy J Callahan (P)	01/08-05/02	SSMB 261	 
22372	EVSS	640	01	M	3.000	Earth System Science	MW	02:00 pm-03:15 pm	15	-1	Barbara Austin Beckingham (P)	01/08-05/02	SSMB 200	 
21807	EVSS	642	01	M	4.000	Geological App Of Remote Sensi	M	12:00 pm-02:00 pm	6	6	David John Chadwick (P)	01/08-05/02	SSMB 255	 
21808	EVSS	642L	01	M	0.000	Geological App of Remote Sens	W	12:00 pm-04:00 pm	6	6	David John Chadwick (P)	01/08-05/02	SSMB 255	 
20622	EVSS	646	01	M	2.000	Graduate Core Seminar	T	05:30 pm-07:10 pm	15	3	Pamela Susan Lovelace (P)	01/08-05/02	SSMB 138	 
20623	EVSS	649	01	M	4.000	Geographic Information Systems	T	02:00 pm-05:00 pm	10	2	Khalid A Ali (P)	01/08-05/02	SSMB 253	 
20624	EVSS	649L	01	M	0.000	Geographic Information Systems	R	02:00 pm-05:00 pm	10	2	Khalid A Ali (P)	01/08-05/02	SSMB 253	 
20626	EVSS	659	01	M	3.000	Environmental Statistics	MW	04:00 pm-05:15 pm	20	0	Martin L Jones (P)	01/08-05/02	MYBK 113	 
23915	EVSS	690	01	M	3.000	INT: Promoting Env Literacy	 	TBA	0	-1	John S Peters (P)	01/08-05/02	TBA	 
24459	EVSS	690	02	M	3.000	INT: A Model to Create a Consistent Message Throughout the SE US through Educational Lessons	 	TBA	0	-1	Eric J McElroy (P)	01/08-05/02	TBA	 
24495	EVSS	690	03	M	6.000	INT: Barriers and Resources	 	TBA	0	-1	Janet L Key (P)	01/08-05/02	TBA	 
24530	EVSS	690	04	M	6.000	IS: GIS-based Decision	 	TBA	0	-1	Norman S Levine (P)	01/08-05/02	TBA	 
24639	EVSS	690	05	M	3.000	INT: Coastal Resrouces & Fisheries Mgmt Office, BayBay, Leyte, Phillipines	 	TBA	0	-1	Annette M Watson (P)	01/08-05/02	TBA	 
24640	EVSS	690	06	M	3.000	INT: Middle School Env Ed	 	TBA	0	-1	Elizabeth Vernon Bell (P)	01/08-05/02	TBA	 
24654	EVSS	690	07	M	3.000	INT: Sustainability Science	 	TBA	0	0	P Brian Fisher (P)	01/08-05/02	TBA	 
24655	EVSS	690	08	M	6.000	INT: Public-Private Ptnrships	 	TBA	0	-1	Kendra B Stewart (P)	01/08-05/02	TBA	 
24657	EVSS	690	09	M	6.000	INT: Water Quality Program	 	TBA	0	-1	Timothy J Callahan (P)	01/08-05/02	TBA	 
24922	EVSS	690	10	M	3.000	INT: A Model to Create a Consistent Message Throughout the SE US through Educational Lessons	 	TBA	0	-1	Eric J McElroy (P)	01/08-05/02	TBA	 
24938	EVSS	690	11	M	6.000	A Participatory Approach to Preparing for Sea Level Rise in Beaufort County, SC	 	TBA	0	0	Timothy J Callahan (P)	01/08-05/02	TBA	 
24216	EVSS	691	01	M	6.000	MST: Effects of Rapid Dev	 	TBA	0	-1	Annette M Watson (P)	01/08-05/02	TBA	 
24367	EVSS	691	02	M	6.000	MST: Soil Science	 	TBA	0	-1	Pamela Susan Lovelace (P)	01/08-05/02	TBA	 
24376	EVSS	691	03	M	6.000	MST: Values in Lowcountry	 	TBA	0	-1	Annette M Watson (P)	01/08-05/02	TBA	 
24503	EVSS	691	04	M	6.000	MST: Water Quality Assessment of Tidal Waters in Upper Inlet Creek, Mt. Pleasant, SC	 	TBA	0	-1	Timothy J Callahan (P)	01/08-05/02	TBA	 
24524	EVSS	691	05	M	6.000	MST: Pygmy Sperm Whale	 	TBA	0	-1	Wayne E. McFee (P)	01/08-05/02	TBA	 
24534	EVSS	691	06	M	6.000	MST: Nitrogen Forms	 	TBA	0	-1	Dianne I Greenfield (P)	01/08-05/02	TBA	 
24638	EVSS	691	07	M	3.000	MST: Carbon Footprint of Dining Services at CofC	 	TBA	0	-1	P Brian Fisher (P)	01/08-05/02	TBA	 
24656	EVSS	691	08	M	6.000	MST: Ecohydrology	 	TBA	0	-1	Timothy J Callahan (P)	01/08-05/02	TBA	 
24658	EVSS	691	09	M	6.000	MST: Marine Spatial Planning	 	TBA	0	-1	Norman S Levine (P)	01/08-05/02	TBA	 
24928	EVSS	691	10	M	3.000	Genetic Morphological and Chem	 	TBA	0	-1	Timothy J Callahan (P)	01/08-05/02	TBA	 
