CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Rem	Instructor	Date (MM/DD)	Location	Attribute
10143	BIOL	101	01	M	4.000	Concepts and Applications in Biology I	MWF	08:00 am-08:50 am	40	7	Jessica E Bohonowych (P)	08/21-12/12	RHSC 218	 
15788	BIOL	101	02	M	4.000	Concepts and Applications in Biology I	MWF	10:00 am-10:50 am	40	3	Margaret Elizabeth Grant Burton (P)	08/21-12/12	RHSC 123	 
10147	BIOL	101	04	M	4.000	Concepts and Applications in Biology I	MWF	11:00 am-11:50 am	80	8	Heather Nicole Pritchard (P)	08/21-12/12	RHSC 123	 
10148	BIOL	101	05	M	4.000	Concepts and Applications in Biology I	MWF	12:00 pm-12:50 pm	80	16	Heather Nicole Pritchard (P)	08/21-12/12	RHSC 123	 
10149	BIOL	101	06	M	4.000	Concepts and Applications in Biology I	MWF	02:00 pm-02:50 pm	80	31	Miranda Lynette McManus (P)	08/21-12/12	RHSC 121	 
10150	BIOL	101	07	M	4.000	Concepts and Applications in Biology I	TR	08:00 am-09:15 am	40	2	Elizabeth Claire Little (P)	08/21-12/12	RHSC 121	 
10151	BIOL	101	08	M	4.000	Concepts and Applications in Biology I	TR	10:50 am-12:05 pm	40	3	Jody Tucker Mack (P)	08/21-12/12	LCTR B08	 
14740	BIOL	101	09	M	4.000	Concepts and Applications in Biology I	MW	06:00 pm-07:15 pm	40	5	Ryan Matthew Wenzel (P)	08/21-12/12	RHSC 123	 
10144	BIOL	101L	03	M	0.000	Concepts and Application in Biology I Laboratory	M	10:30 am-01:30 pm	24	3	Brian G Scholtens (P), Lauren Hernandez-Rubio Senn	08/21-12/12	LCTR 339	 
10153	BIOL	101L	05	M	0.000	Concepts and Application in Biology I Laboratory	M	01:30 pm-04:30 pm	24	3	Brian G Scholtens (P), Andrea Marie Sassard	08/21-12/12	LCTR 339	 
10165	BIOL	101L	07	M	0.000	Concepts and Application in Biology I Laboratory	M	04:30 pm-07:30 pm	24	1	Brian G Scholtens (P), Tamara Lynn Morris	08/21-12/12	LCTR 339	 
10166	BIOL	101L	09	M	0.000	Concepts and Application in Biology I Laboratory	M	07:30 pm-10:30 pm	24	3	Brian G Scholtens (P), Tamara Lynn Morris	08/21-12/12	LCTR 339	 
10154	BIOL	101L	11	M	0.000	Concepts and Application in Biology I Laboratory	T	07:30 am-10:30 am	24	3	Brian G Scholtens (P), Walter Marshall Blair	08/21-12/12	LCTR 339	 
10155	BIOL	101L	13	M	0.000	Concepts and Application in Biology I Laboratory	T	10:30 am-01:30 pm	24	0	Brian G Scholtens (P), Lauren Hernandez-Rubio Senn	08/21-12/12	LCTR 339	 
10156	BIOL	101L	15	M	0.000	Concepts and Application in Biology I Laboratory	T	01:35 pm-04:30 pm	24	5	Brian G Scholtens (P), Andrea Marie Margiotta	08/21-12/12	LCTR 339	 
10167	BIOL	101L	17	M	0.000	Concepts and Application in Biology I Laboratory	T	04:30 pm-07:30 pm	24	1	Brian G Scholtens (P), Andrea Marie Margiotta	08/21-12/12	LCTR 339	 
10159	BIOL	101L	18	M	0.000	Concepts and Application in Biology I Laboratory	R	07:30 pm-10:30 pm	0	0	Brian G Scholtens (P)	08/21-12/12	LCTR 339	 
10168	BIOL	101L	19	M	0.000	Concepts and Application in Biology I Laboratory	T	07:30 pm-10:30 pm	24	4	Brian G Scholtens (P), Tamara Lynn Morris	08/21-12/12	LCTR 339	 
10158	BIOL	101L	23	M	0.000	Concepts and Application in Biology I Laboratory	W	10:30 am-01:30 pm	24	3	Brian G Scholtens (P), Lauren Hernandez-Rubio Senn	08/21-12/12	LCTR 339	 
10157	BIOL	101L	25	M	0.000	Concepts and Application in Biology I Laboratory	W	01:30 pm-04:30 pm	24	1	Brian G Scholtens (P), Elizabeth Anne Duermit	08/21-12/12	LCTR 339	 
10169	BIOL	101L	27	M	0.000	Concepts and Application in Biology I Laboratory	W	04:30 pm-07:30 pm	24	1	Brian G Scholtens (P), Elizabeth Anne Duermit	08/21-12/12	LCTR 339	 
10160	BIOL	101L	29	M	0.000	Concepts and Application in Biology I Laboratory	W	07:30 pm-10:30 pm	24	6	Brian G Scholtens (P), Elizabeth Anne Duermit	08/21-12/12	LCTR 339	 
10161	BIOL	101L	31	M	0.000	Concepts and Application in Biology I Laboratory	R	07:30 am-10:30 am	24	3	Brian G Scholtens (P), Andrea Marie Sassard	08/21-12/12	LCTR 339	 
10162	BIOL	101L	33	M	0.000	Concepts and Application in Biology I Laboratory	R	10:30 am-01:30 pm	24	2	Brian G Scholtens (P), Andrea Marie Sassard	08/21-12/12	LCTR 339	 
10163	BIOL	101L	35	M	0.000	Concepts and Application in Biology I Laboratory	R	01:35 pm-04:30 pm	24	2	Brian G Scholtens (P), Walter Marshall Blair	08/21-12/12	LCTR 339	 
15755	BIOL	101L	39	M	0.000	Concepts and Application in Biology I Laboratory	R	04:30 pm-07:30 pm	24	3	Brian G Scholtens (P), Walter Marshall Blair	08/21-12/12	LCTR 339	 
10164	BIOL	101L	45	M	0.000	Concepts and Application in Biology I Laboratory	F	01:30 pm-04:30 pm	0	0	Brian G Scholtens (P)	08/21-12/12	LCTR 339	 
10171	BIOL	102	01	M	4.000	Concepts and Applications in Biology II	MWF	08:00 am-08:50 am	40	13	Margaret Elizabeth Grant Burton (P)	08/21-12/12	RHSC 239	 
10172	BIOL	102	02	M	4.000	Concepts and Applications in Biology II	MWF	09:00 am-09:50 am	80	1	Margaret Elizabeth Grant Burton (P)	08/21-12/12	RHSC 123	 
10173	BIOL	102	03	M	4.000	Concepts and Applications in Biology II	TR	08:00 am-09:15 am	40	5	Jane Price Ellis (P)	08/21-12/12	RHSC 239	 
10174	BIOL	102	04	M	4.000	Concepts and Applications in Biology II	TR	10:50 am-12:05 pm	40	1	Jane Price Ellis (P)	08/21-12/12	RHSC 123	 
10175	BIOL	102	05	M	4.000	Concepts and Applications in Biology II	TR	07:00 pm-08:15 pm	40	18	Stephanie Angela Socher (P)	08/21-12/12	RHSC 218	 
10176	BIOL	102L	05	M	0.000	Concepts and Applications in Biology II Laboratory	M	01:30 pm-04:30 pm	24	1	Brian G Scholtens (P), Meredith Sonny Smylie	08/21-12/12	LCTR 341	 
10179	BIOL	102L	07	M	0.000	Concepts and Applications in Biology II Laboratory	M	04:30 pm-07:30 pm	24	0	Brian G Scholtens (P), Levi Broaddus Curnutte	08/21-12/12	LCTR 341	 
10180	BIOL	102L	09	M	0.000	Concepts and Applications in Biology II Laboratory	M	07:30 pm-10:30 pm	24	2	Brian G Scholtens (P), Levi Broaddus Curnutte	08/21-12/12	LCTR 341	 
10177	BIOL	102L	15	M	0.000	Concepts and Applications in Biology II Laboratory	T	01:35 pm-04:30 pm	24	1	Brian G Scholtens (P), Levi Broaddus Curnutte	08/21-12/12	LCTR 341	 
10181	BIOL	102L	17	M	0.000	Concepts and Applications in Biology II Laboratory	T	04:30 pm-07:30 pm	24	0	Brian G Scholtens (P), Hope Wertz	08/21-12/12	LCTR 341	 
10182	BIOL	102L	19	M	0.000	Concepts and Applications in Biology II Laboratory	T	07:30 pm-10:30 pm	24	4	Brian G Scholtens (P), Hope Wertz	08/21-12/12	LCTR 341	 
10178	BIOL	102L	25	M	0.000	Concepts and Applications in Biology II Laboratory	W	01:30 pm-04:30 pm	24	0	Brian G Scholtens (P), Hope Wertz	08/21-12/12	LCTR 341	 
10183	BIOL	102L	27	M	0.000	Concepts and Applications in Biology II Laboratory	W	04:30 pm-07:30 pm	24	1	Brian G Scholtens (P), Meredith Sonny Smylie	08/21-12/12	LCTR 341	 
10184	BIOL	102L	29	M	0.000	Concepts and Applications in Biology II Laboratory	W	07:30 pm-10:30 pm	24	6	Brian G Scholtens (P), Meredith Sonny Smylie	08/21-12/12	LCTR 341	 
10186	BIOL	111	01	M	3.000	Introduction to Cell and Molecular Biology	TR	10:50 am-12:05 pm	85	4	Kathleen Elizabeth Janech (P)	08/21-12/12	RHSC 121	 
10187	BIOL	111	02	M	3.000	Introduction to Cell and Molecular Biology	MWF	08:00 am-08:50 am	85	6	Mark D Lazzaro (P)	08/21-12/12	RHSC 121	 
10188	BIOL	111	03	M	3.000	Introduction to Cell and Molecular Biology	TR	12:15 pm-01:30 pm	85	3	Melissa Branham O'Connor (P)	08/21-12/12	RHSC 123	 
10189	BIOL	111	04	M	3.000	Introduction to Cell and Molecular Biology	MWF	09:00 am-09:50 am	80	9	Miranda Lynette McManus (P)	08/21-12/12	RHSC 121	 
15913	BIOL	111	05	M	3.000	LC7A: Introduction to Cell and Molecular Biology	MWF	01:00 pm-01:50 pm	20	0	Miranda Lynette McManus (P)	08/21-12/12	RHSC 121	Learning Community 7A
10191	BIOL	111	06	M	3.000	Introduction to Cell and Molecular Biology	MW	07:00 pm-08:15 pm	85	5	Edwin Whitfield McMillan (P)	08/21-12/12	RHSC 121	 
15914	BIOL	111	07	M	3.000	LC7B: Introduction to Cell and Molecular Biology	MWF	01:00 pm-01:50 pm	20	3	Miranda Lynette McManus (P)	08/21-12/12	RHSC 121	Learning Community 7B
13025	BIOL	111	14	M	3.000	Introduction to Cell and Molecular Biology	MWF	11:00 am-11:50 am	85	1	Erin Richard (P)	08/21-12/12	RHSC 121	 
15942	BIOL	111	16	M	3.000	LC 20A: Introduction to Cell and Molecular Biology	TR	08:00 am-09:15 am	22	6	Kathleen Elizabeth Janech (P)	08/21-12/12	RHSC 123	Learning Community 20A
15943	BIOL	111	18	M	3.000	LC 20B: Introduction to Cell and Molecular Biology	TR	08:00 am-09:15 am	22	1	Kathleen Elizabeth Janech (P)	08/21-12/12	RHSC 123	Learning Community 20B
15944	BIOL	111	19	M	3.000	LC 20C: Introduction to Cell and Molecular Biology	TR	08:00 am-09:15 am	23	5	Kathleen Elizabeth Janech (P)	08/21-12/12	RHSC 123	Learning Community 20C
15945	BIOL	111	20	M	3.000	LC 20D: Introduction to Cell and Molecular Biology	TR	08:00 am-09:15 am	23	6	Kathleen Elizabeth Janech (P)	08/21-12/12	RHSC 123	Learning Community 20D
10193	BIOL	111L	03	M	1.000	Introduction to Cell and Molecular Biology Lab	M	10:30 am-01:30 pm	24	1	Brian G Scholtens (P), Whitney Francis Hook	08/21-12/12	RHSC 318	 
10200	BIOL	111L	06	M	1.000	Introduction to Cell and Molecular Biology Lab	M	01:30 pm-04:30 pm	24	0	Brian G Scholtens (P), Megan Elizabeth Meek	08/21-12/12	RHSC 320	 
10201	BIOL	111L	08	M	1.000	Introduction to Cell and Molecular Biology Lab	M	04:30 pm-07:30 pm	24	-1	Brian G Scholtens (P), Dominique Anne Maldonado	08/21-12/12	RHSC 320	 
10209	BIOL	111L	09	M	1.000	Introduction to Cell and Molecular Biology Lab	M	07:30 pm-10:30 pm	24	1	Brian G Scholtens (P), Melissa Bernhard	08/21-12/12	RHSC 318	 
10194	BIOL	111L	11	M	1.000	Introduction to Cell and Molecular Biology Lab	T	07:30 am-10:30 am	24	0	Brian G Scholtens (P), Hannah Louise Day	08/21-12/12	RHSC 318	 
10195	BIOL	111L	13	M	1.000	Introduction to Cell and Molecular Biology Lab	T	10:30 am-01:30 pm	24	1	Brian G Scholtens (P), Hannah Louise Day	08/21-12/12	RHSC 318	 
10196	BIOL	111L	15	M	1.000	Introduction to Cell and Molecular Biology Lab	T	01:35 pm-04:30 pm	24	-1	Brian G Scholtens (P), Jessica Sarah Snyder	08/21-12/12	RHSC 318	 
10197	BIOL	111L	16	M	1.000	Introduction to Cell and Molecular Biology Lab	T	01:35 pm-04:30 pm	24	2	Brian G Scholtens (P), Alec J Turner	08/21-12/12	RHSC 320	 
10210	BIOL	111L	17	M	1.000	Introduction to Cell and Molecular Biology Lab	T	04:30 pm-07:30 pm	24	0	Brian G Scholtens (P), Jessica Sarah Snyder	08/21-12/12	RHSC 318	 
10214	BIOL	111L	18	M	1.000	Introduction to Cell and Molecular Biology Lab	T	04:30 pm-07:30 pm	24	0	Brian G Scholtens (P), Alec J Turner	08/21-12/12	RHSC 320	 
10211	BIOL	111L	19	M	1.000	Introduction to Cell and Molecular Biology Lab	T	07:30 pm-10:30 pm	24	1	Brian G Scholtens (P), Jessica Sarah Snyder	08/21-12/12	RHSC 318	 
14638	BIOL	111L	20	M	1.000	Introduction to Cell and Molecular Biology Lab	T	07:30 pm-10:30 pm	24	1	Brian G Scholtens (P), Alec J Turner	08/21-12/12	RHSC 320	 
10198	BIOL	111L	23	M	1.000	Introduction to Cell and Molecular Biology Lab	W	10:30 am-01:30 pm	24	4	Brian G Scholtens (P), David Patrick Coles	08/21-12/12	RHSC 318	 
10199	BIOL	111L	25	M	1.000	Introduction to Cell and Molecular Biology Lab	W	01:30 pm-04:30 pm	24	4	Brian G Scholtens (P), Sharleen Parker Johnson	08/21-12/12	RHSC 318	 
10202	BIOL	111L	26	M	1.000	Introduction to Cell and Molecular Biology Lab	W	01:30 pm-04:30 pm	24	3	Brian G Scholtens (P), David Patrick Coles	08/21-12/12	RHSC 320	 
10212	BIOL	111L	27	M	1.000	Introduction to Cell and Molecular Biology Lab	W	04:30 pm-07:30 pm	24	2	Brian G Scholtens (P), Sharleen Parker Johnson	08/21-12/12	RHSC 318	 
10215	BIOL	111L	28	M	1.000	Introduction to Cell and Molecular Biology Lab	W	04:30 pm-07:30 pm	24	2	Brian G Scholtens (P), Nicole Schanke	08/21-12/12	RHSC 320	 
10203	BIOL	111L	33	M	1.000	Introduction to Cell and Molecular Biology Lab	R	10:30 am-01:30 pm	24	1	Brian G Scholtens (P), Hannah Louise Day	08/21-12/12	RHSC 320	 
10204	BIOL	111L	35	M	1.000	Introduction to Cell and Molecular Biology Lab	R	01:35 pm-04:30 pm	24	1	Brian G Scholtens (P), Sharleen Parker Johnson	08/21-12/12	RHSC 318	 
10207	BIOL	111L	36	M	1.000	Introduction to Cell and Molecular Biology Lab	R	01:35 pm-04:30 pm	24	2	Brian G Scholtens (P), Melissa Bernhard	08/21-12/12	RHSC 318	 
14629	BIOL	111L	37	M	1.000	Introduction to Cell and Molecular Biology Lab	R	04:30 pm-07:30 pm	24	-1	Brian G Scholtens (P), David Patrick Coles	08/21-12/12	RHSC 318	 
14779	BIOL	111L	38	M	1.000	Introduction to Cell and Molecular Biology Lab	R	04:30 pm-07:30 pm	24	1	Brian G Scholtens (P), Whitney Francis Hook	08/21-12/12	RHSC 320	 
10205	BIOL	111L	43	M	1.000	Introduction to Cell and Molecular Biology Lab	F	10:30 am-01:30 pm	24	2	Brian G Scholtens (P), Megan Elizabeth Meek	08/21-12/12	RHSC 318	 
10208	BIOL	111L	44	M	1.000	Introduction to Cell and Molecular Biology Lab	F	10:30 am-01:30 pm	24	2	Brian G Scholtens (P), Nicole Schanke	08/21-12/12	RHSC 320	 
10206	BIOL	111L	45	M	1.000	Introduction to Cell and Molecular Biology Lab	F	01:30 pm-04:30 pm	24	3	Brian G Scholtens (P), Megan Elizabeth Meek	08/21-12/12	RHSC 318	 
10213	BIOL	111L	46	M	1.000	Introduction to Cell and Molecular Biology Lab	F	01:30 pm-04:30 pm	24	6	Brian G Scholtens (P), Dominique Anne Maldonado	08/21-12/12	RHSC 320	 
10216	BIOL	112	01	M	3.000	Evolution, Form, and Function of Organisms	MWF	10:00 am-10:50 am	80	6	Jean B Everett (P)	08/21-12/12	MYBK 100	 
10217	BIOL	112	02	M	3.000	Evolution, Form, and Function of Organisms	MWF	11:00 am-11:50 am	80	2	Miranda Lynette McManus (P)	08/21-12/12	SSMB 129	 
10220	BIOL	112L	02	M	1.000	Evolution, Form, and Function of Organisms Lab	T	01:35 pm-04:30 pm	0	0	Brian G Scholtens (P)	08/21-12/12	LCTR 340	 
10219	BIOL	112L	05	M	1.000	Evolution, Form, and Function of Organisms Lab	M	01:30 pm-04:30 pm	24	3	Brian G Scholtens (P), Amanda Joy Szwarc	08/21-12/12	LCTR 340	 
10222	BIOL	112L	07	M	1.000	Evolution, Form, and Function of Organisms Lab	M	04:30 pm-07:30 pm	24	3	Brian G Scholtens (P), Jennifer Lynn Newby	08/21-12/12	LCTR 340	 
10223	BIOL	112L	09	M	1.000	Evolution, Form, and Function of Organisms Lab	M	07:30 pm-10:30 pm	24	9	Brian G Scholtens (P), Jennifer Lynn Newby	08/21-12/12	LCTR 340	 
10224	BIOL	112L	15	M	1.000	Evolution, Form, and Function of Organisms Lab	T	04:30 pm-07:30 pm	24	4	Brian G Scholtens (P), Amanda Joy Szwarc	08/21-12/12	LCTR 340	 
14194	BIOL	112L	17	M	1.000	Evolution, Form, and Function of Organisms Lab	T	07:30 pm-10:30 pm	24	15	Brian G Scholtens (P), Jennifer Lynn Newby	08/21-12/12	LCTR 340	 
10221	BIOL	112L	25	M	1.000	Evolution, Form, and Function of Organisms Lab	W	01:30 pm-04:30 pm	24	3	Brian G Scholtens (P), Amanda Joy Szwarc	08/21-12/12	LCTR 340	 
10225	BIOL	112L	27	M	1.000	Evolution, Form, and Function of Organisms Lab	W	04:30 pm-07:30 pm	24	7	Brian G Scholtens (P), Courtney Elizabeth Gerstenmaier	08/21-12/12	LCTR 340	 
14193	BIOL	112L	35	M	1.000	Evolution, Form, and Function of Organisms Lab	R	01:35 pm-04:30 pm	24	1	Brian G Scholtens (P), Courtney Elizabeth Gerstenmaier	08/21-12/12	LCTR 340	 
10226	BIOL	201	01	M	4.000	Human Physiology	MWF	09:00 am-09:50 am	119	10	Eric J McElroy (P)	08/21-12/12	SSMB 129	 
10227	BIOL	201L	01	M	0.000	Human Physiology Lab	M	11:00 am-01:59 pm	24	3	Jason T Vance (P)	08/21-12/12	RHSC 223	 
10228	BIOL	201L	02	M	0.000	Human Physiology Lab	M	02:00 pm-04:59 pm	24	2	Jason T Vance (P)	08/21-12/12	RHSC 223	 
10229	BIOL	201L	03	M	0.000	Human Physiology Lab	T	11:00 am-01:59 pm	24	2	Norma Juliana Salcedo (P)	08/21-12/12	RHSC 223	 
10230	BIOL	201L	04	M	0.000	Human Physiology Lab	T	02:00 pm-04:59 pm	24	2	Jason T Vance (P)	08/21-12/12	RHSC 223	 
10231	BIOL	201L	05	M	0.000	Human Physiology Lab	W	11:00 am-01:59 pm	23	1	Norma Juliana Salcedo (P)	08/21-12/12	RHSC 223	 
10232	BIOL	202	01	M	4.000	Human Anatomy	TR	08:00 am-09:15 am	144	31	Peyre G Pringle (P)	08/21-12/12	SSMB 129	 
10233	BIOL	202L	01	M	0.000	Human Anatomy Lab	M	11:00 am-01:59 pm	24	2	Peyre G Pringle (P)	08/21-12/12	RHSC 227	 
10234	BIOL	202L	02	M	0.000	Human Anatomy Lab	M	02:00 pm-04:59 pm	24	5	Peyre G Pringle (P)	08/21-12/12	RHSC 227	 
10235	BIOL	202L	03	M	0.000	Human Anatomy Lab	T	11:00 am-01:59 pm	24	5	Dougald Archibald McCallum (P)	08/21-12/12	RHSC 227	 
10236	BIOL	202L	04	M	0.000	Human Anatomy Lab	T	02:00 pm-04:59 pm	24	3	Dougald Archibald McCallum (P)	08/21-12/12	RHSC 227	 
10237	BIOL	202L	05	M	0.000	Human Anatomy Lab	W	11:00 am-01:59 pm	24	7	Peyre G Pringle (P)	08/21-12/12	RHSC 227	 
14247	BIOL	202L	06	M	0.000	Human Anatomy Lab	W	02:00 pm-04:59 pm	24	9	Peyre G Pringle (P)	08/21-12/12	RHSC 227	 
10238	BIOL	204	01	M	3.000	Man and the Environment	MWF	08:00 am-08:50 am	24	7	David R Wiseman (P)	08/21-12/12	RHSC 204	 
