CRN 	Subj 	Crse 	Sec 	Cmp 	Cred 	Title 	Days 	Time 	Cap 	Rem 	Instructor 	Date (MM/DD) 	Location 	Attribute
23417 	BIOL 	601L 	01 	G 	0.000 	Ecology of Marine Org Lab 	W 	02:00 pm-05:00 pm 	9 	1 	Craig J Plante (P) 	01/08-05/02 	GMLM 101 	 
23418 	BIOL 	601L 	02 	G 	0.000 	Ecology of Marine Org Lab 	T 	02:00 pm-05:00 pm 	9 	3 	Craig J Plante (P) 	01/08-05/02 	GMLM 101 	 
21439 	BIOL 	611 	01 	G 	4.000 	Biometry 	TR 	09:00 am-10:15 am 	15 	-1 	Allan Edgar Strand (P) 	01/08-05/02 	GMLM 101 	 
21440 	BIOL 	611L 	01 	G 	0.000 	Biometry 	T 	10:30 am-01:30 pm 	9 	0 	Allan Edgar Strand (P) 	01/08-05/02 	GMLM 101 	 
21441 	BIOL 	611L 	02 	G 	0.000 	Biometry 	R 	10:30 am-01:30 pm 	6 	-1 	Allan Edgar Strand (P) 	01/08-05/02 	GMLM 101 	 
20191 	BIOL 	621 	01 	G 	1.000 	Seminar 	R 	05:30 pm-07:00 pm 	18 	2 	Craig J Plante (P) 	01/08-05/02 	GMLM 202 	 
20192 	BIOL 	643 	01 	G 	3.000 	Fisheries Science 	TR 	05:15 pm-06:45 pm 	15 	13 	Marcel J Reichert (P) 	01/08-05/02 	GMLA 113 	 
23335 	BIOL 	649 	01 	M 	4.000 	Comparative Genomics 	TR 	12:15 pm-01:30 pm 	10 	10 	Andrew M Shedlock (P) 	01/08-05/02 	SSMB 100 	 
23427 	BIOL 	649L 	01 	M 	0.000 	Comparative Genomics Lab 	T 	03:30 pm-06:30 pm 	10 	10 	Andrew M Shedlock (P) 	01/08-05/02 	SSMB 255 	 
20193 	BIOL 	650 	01 	G 	1.000 	Seminar in Mar Biol: Marine Policy and Conservation 	W 	05:00 pm-06:30 pm 	15 	12 	Marcel J Reichert (P) 	01/08-05/02 	GMLM 202 	 
23454 	BIOL 	650 	02 	G 	1.000 	Seminar in Mar Biol: Conservation Genetics and Genomics 	M 	05:30 pm-07:00 pm 	10 	9 	Andrew M Shedlock (P) 	01/08-05/02 	GMLM 202 	 
23926 	BIOL 	700 	01 	M 	2.000 	Ecology of the Ribbed Mussel in SC 	  	TBA 	0 	-1 	Peter Richard Kingsley-Smith (P) 	01/08-05/02 	TBA 	 
23964 	BIOL 	700 	02 	M 	1.000 	Assessing Brevetoxin Uptake in the Commensal Barnacle Chelonibia testudinaria 	  	TBA 	0 	-1 	John D Zardus (P) 	01/08-05/02 	TBA 	 
23963 	BIOL 	900 	01 	M 	1.000 	Continuous Research Enrollment 	  	TBA 	0 	-1 	Russell Davis Day (P) 	01/08-05/02 	TBA 	 
