CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Rem	Instructor	Date (MM/DD)	Location	Attribute
20125	BIOL	101	01	H	4.000	Concepts and Applications in Biology I	MWF	11:30 am-12:20 pm	36	0	Norma Juliana Salcedo (P)	01/12-05/06	HWWE 213	 
20126	BIOL	101	02	M	4.000	Concepts and Applications in Biology I	TR	08:00 am-09:15 am	36	-2	Dorian R McMillan (P)	01/12-05/06	SSMB 138	 
20127	BIOL	101	03	H	4.000	Concepts and Applications in Biology I	TR	05:30 pm-06:45 pm	80	6	Miranda Lynette McManus (P)	01/12-05/06	HWWE 213	 
23883	BIOL	101	04	H	4.000	Concepts and Applications in Biology I	TR	12:45 pm-02:00 pm	36	0	David R Wiseman (P)	01/12-05/06	HWWE 305	 
20130	BIOL	101L	05	M	0.000	Concepts and Application in Biology I Laboratory	M	01:30 pm-04:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 339	 
20128	BIOL	101L	07	M	0.000	Concepts and Application in Biology I Laboratory	M	04:30 pm-07:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 339	 
21840	BIOL	101L	09	M	0.000	Concepts and Application in Biology I Laboratory	M	07:30 pm-10:29 pm	24	5	Brian G Scholtens (P)	01/12-05/06	LCTR 339	 
20131	BIOL	101L	15	M	0.000	Concepts and Application in Biology I Laboratory	T	01:30 pm-04:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 339	 
21841	BIOL	101L	17	M	0.000	Concepts and Application in Biology I Laboratory	T	04:30 pm-07:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 339	 
20132	BIOL	101L	25	M	0.000	Concepts and Application in Biology I Laboratory	W	01:30 pm-04:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 339	 
20129	BIOL	101L	27	M	0.000	Concepts and Application in Biology I Laboratory	W	04:30 pm-07:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 339	 
22751	BIOL	101L	35	M	0.000	Concepts and Application in Biology I Laboratory	R	01:30 pm-04:29 pm	24	2	Brian G Scholtens (P)	01/12-05/06	LCTR 339	 
20135	BIOL	102	03	M	4.000	Concepts and Applications in Biology II	MW	03:30 pm-04:45 pm	36	1	Dorian R McMillan (P)	01/12-05/06	HWWE 305	 
20136	BIOL	102	04	H	4.000	Concepts and Applications in Biology II	TR	08:30 am-09:45 am	36	2	Miranda Lynette McManus (P)	01/12-05/06	HWWE 213	 
20137	BIOL	102	05	M	4.000	Concepts and Applications in Biology II	TR	11:20 am-12:35 pm	80	10	Heather Nicole Pritchard (P)	01/12-05/06	HWWE 217	 
24021	BIOL	102	06	H	4.000	Concepts and Applications in Biology II	MWF	11:30 am-12:20 pm	37	-3	Heather Nicole Pritchard (P)	01/12-05/06	HWWE 217	 
24022	BIOL	102	07	H	4.000	Concepts and Applications in Biology II	TR	12:45 pm-02:00 pm	36	3	Miranda Lynette McManus (P)	01/12-05/06	HWWE 217	 
24023	BIOL	102	08	H	4.000	Concepts and Applications in Biology II	MWF	09:30 am-10:20 am	35	1	Kathleen Elizabeth Janech (P)	01/12-05/06	HWWE 211	 
24025	BIOL	102	09	H	4.000	Concepts and Applications in Biology II	MWF	10:30 am-11:20 am	35	2	Dougald Archibald McCallum (P)	01/12-05/06	HWWE 211	 
20138	BIOL	102L	03	M	0.000	Concepts and Applications in Biology II Laboratory	M	10:30 am-01:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 341	 
20139	BIOL	102L	05	M	0.000	Concepts and Applications in Biology II Laboratory	M	01:30 pm-04:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 341	 
20141	BIOL	102L	09	M	0.000	Concepts and Applications in Biology II Laboratory	M	07:30 pm-10:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 341	 
20143	BIOL	102L	13	M	0.000	Concepts and Applications in Biology II Laboratory	T	10:30 am-01:29 pm	24	1	Brian G Scholtens (P)	01/12-05/06	LCTR 341	 
20144	BIOL	102L	15	M	0.000	Concepts and Applications in Biology II Laboratory	T	01:30 pm-04:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 341	 
20145	BIOL	102L	17	M	0.000	Concepts and Applications in Biology II Laboratory	T	04:30 pm-07:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 341	 
20146	BIOL	102L	23	M	0.000	Concepts and Applications in Biology II Laboratory	W	10:30 am-01:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 341	 
20147	BIOL	102L	25	M	0.000	Concepts and Applications in Biology II Laboratory	W	01:30 pm-04:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 341	 
20148	BIOL	102L	27	M	0.000	Concepts and Applications in Biology II Laboratory	W	04:30 pm-07:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 341	 
20149	BIOL	102L	33	M	0.000	Concepts and Applications in Biology II Laboratory	R	10:30 am-01:29 pm	24	2	Brian G Scholtens (P)	01/12-05/06	LCTR 341	 
21844	BIOL	102L	35	M	0.000	Concepts and Applications in Biology II Laboratory	R	01:30 pm-04:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 341	 
21845	BIOL	102L	45	M	0.000	Concepts and Applications in Biology II Laboratory	F	01:30 pm-04:29 pm	24	6	Brian G Scholtens (P)	01/12-05/06	LCTR 341	 
20150	BIOL	111	01	M	3.000	Introduction to Cell and Molecular Biology	TR	09:25 am-10:40 am	38	-3	Renaud Geslain (P)	01/12-05/06	SSMB 138	 
20151	BIOL	111	02	M	3.000	Introduction to Cell and Molecular Biology	MWF	01:30 pm-02:20 pm	40	-2	Kathleen Elizabeth Janech (P)	01/12-05/06	HWWE 213	 
21548	BIOL	111	03	H	3.000	Introduction to Cell and Molecular Biology	TR	02:10 pm-03:25 pm	80	-2	Andrew M Shedlock (P)	01/12-05/06	HWWE 213	 
20152	BIOL	111L	05	M	1.000	Introduction to Cell and Molecular Biology Lab	M	01:30 pm-04:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 344	 
20153	BIOL	111L	07	M	1.000	Introduction to Cell and Molecular Biology Lab	M	04:30 pm-07:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 344	 
21846	BIOL	111L	09	M	1.000	Introduction to Cell and Molecular Biology Lab	M	07:30 pm-10:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 344	 
20154	BIOL	111L	15	M	1.000	Introduction to Cell and Molecular Biology Lab	T	01:30 pm-04:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 344	 
21847	BIOL	111L	17	M	1.000	Introduction to Cell and Molecular Biology Lab	T	04:30 pm-07:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 344	 
20155	BIOL	111L	25	M	1.000	Introduction to Cell and Molecular Biology Lab	W	01:30 pm-04:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 344	 
21849	BIOL	111L	35	M	1.000	Introduction to Cell and Molecular Biology Lab	F	01:30 pm-04:29 pm	24	7	Brian G Scholtens (P)	01/12-05/06	LCTR 344	 
20156	BIOL	112	01	H	3.000	Evolution, Form, and Function	TR	12:15 pm-01:30 pm	37	0	John S Peters (P)	01/12-05/06	SSMB 138	 
20157	BIOL	112	02	H	3.000	Evolution, Form, and Function of Organisms	MWF	12:30 pm-01:20 pm	37	-6	Deborah A Bidwell (P)	01/12-05/06	HWWE 211	 
20158	BIOL	112	03	H	3.000	Evolution, Form, and Function of Organisms	MWF	08:30 am-09:20 am	80	0	Heather Nicole Pritchard (P)	01/12-05/06	HWWE 213	 
20161	BIOL	112	06	M	3.000	Evolution, Form, and Function of Organisms	MWF	10:30 am-11:20 am	36	-1	Jean B Everett (P)	01/12-05/06	HWWE 213	 
21996	BIOL	112	08	H	3.000	Evolution, Form, and Function of Organisms	MWF	09:30 am-10:20 am	75	7	Jean B Everett (P)	01/12-05/06	HWWE 213	 
21555	BIOL	112	09	M	3.000	Evolution, Form, and Function of Organisms	TR	12:15 pm-01:30 pm	75	-6	Deborah A Bidwell (P)	01/12-05/06	SSMB 129	 
21549	BIOL	112	10	M	3.000	Evol, Form and Func of Organis	TR	10:50 am-12:05 pm	75	-2	Deborah A Bidwell (P)	01/12-05/06	SSMB 129	 
21868	BIOL	112	11	M	3.000	Evolution, Form, and Function of Organisms	MWF	11:00 am-11:50 am	36	0	John S Peters (P)	01/12-05/06	SSMB 138	 
21997	BIOL	112	15	M	3.000	Evolution, Form, and Function of Organisms	TR	01:40 pm-02:55 pm	36	0	John S Peters (P)	01/12-05/06	SSMB 138	 
21990	BIOL	112L	03	M	1.000	Evolution, Form, and Function of Organisms Lab	M	10:30 am-01:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 340	 
21854	BIOL	112L	06	M	1.000	Evolution, Form, and Function of Organisms Lab	M	01:30 pm-04:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 342	 
22294	BIOL	112L	08	M	1.000	Evolution, Form, and Function of Organisms Lab	M	04:30 pm-07:29 pm	24	1	Brian G Scholtens (P)	01/12-05/06	LCTR 342	 
23724	BIOL	112L	09	M	1.000	Evolution, Form, and Function of Organisms Lab	M	07:30 pm-10:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 340	 
20166	BIOL	112L	11	M	1.000	Evolution, Form, and Function of Organisms Lab	T	07:30 am-10:29 am	24	1	Brian G Scholtens (P)	01/12-05/06	LCTR 340	 
20167	BIOL	112L	13	M	1.000	Evolution, Form, and Function of Organisms Lab	T	10:30 am-01:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 340	 
20168	BIOL	112L	15	M	1.000	Evolution, Form, and Function of Organisms Lab	T	01:30 pm-04:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 340	 
21855	BIOL	112L	16	M	1.000	Evolution, Form, and Function of Organisms Lab	T	01:30 pm-04:29 pm	24	2	Brian G Scholtens (P)	01/12-05/06	LCTR 342	 
20169	BIOL	112L	17	M	1.000	Evolution, Form, and Function of Organisms Lab	T	04:30 pm-07:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 340	 
23725	BIOL	112L	18	M	1.000	Evolution, Form, and Function of Organisms Lab	T	04:30 pm-07:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 342	 
21856	BIOL	112L	19	M	1.000	Evolution, Form, and Function of Organisms Lab	T	07:30 pm-10:29 pm	24	1	Brian G Scholtens (P)	01/12-05/06	LCTR 340	 
20170	BIOL	112L	23	M	1.000	Evolution, Form, and Function of Organisms Lab	W	10:30 am-01:29 pm	24	2	Brian G Scholtens (P)	01/12-05/06	LCTR 340	 
20171	BIOL	112L	25	M	1.000	Evolution, Form, and Function of Organisms Lab	W	01:30 pm-04:29 pm	24	1	Brian G Scholtens (P)	01/12-05/06	LCTR 340	 
21857	BIOL	112L	26	M	1.000	Evolution, Form, and Function of Organisms Lab	W	01:30 pm-04:29 pm	24	3	Brian G Scholtens (P)	01/12-05/06	LCTR 342	 
20172	BIOL	112L	27	M	1.000	Evolution, Form, and Function of Organisms Lab	W	04:30 pm-07:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 340	 
23726	BIOL	112L	28	M	1.000	Evolution, Form, and Function of Organisms Lab	W	04:30 pm-07:39 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 342	 
21858	BIOL	112L	29	M	1.000	Evolution, Form, and Function of Organisms Lab	W	07:30 pm-10:29 pm	24	15	Brian G Scholtens (P)	01/12-05/06	LCTR 340	 
20173	BIOL	112L	33	M	1.000	Evolution, Form, and Function of Organisms Lab	R	10:30 am-01:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 340	 
21859	BIOL	112L	35	M	1.000	Evolution, Form, and Function of Organisms Lab	R	01:30 pm-04:29 pm	24	0	Brian G Scholtens (P)	01/12-05/06	LCTR 340	 
21860	BIOL	112L	36	M	1.000	Evolution, Form, and Function of Organisms Lab	R	01:30 pm-04:29 pm	24	1	Brian G Scholtens (P)	01/12-05/06	LCTR 342	 
20165	BIOL	112L	43	M	1.000	Evolution, Form, and Function of Organisms Lab	F	10:30 am-01:29 pm	24	12	Brian G Scholtens (P)	01/12-05/06	LCTR 340	 
21861	BIOL	112L	45	M	1.000	Evolution, Form, and Function of Organisms Lab	F	01:30 pm-04:29 pm	24	5	Brian G Scholtens (P)	01/12-05/06	LCTR 340	 
21862	BIOL	112L	46	M	1.000	Evolution, Form, and Function of Organisms Lab	F	01:30 pm-04:29 pm	24	17	Brian G Scholtens (P)	01/12-05/06	LCTR 342	 
20174	BIOL	201	01	M	4.000	Human Physiology	MWF	08:00 am-08:50 am	144	6	Jason T Vance (P)	01/12-05/06	SSMB 129	 
20175	BIOL	201L	01	M	0.000	Human Physiology Lab	M	11:00 am-01:59 pm	24	0	Randall Tyler Grespin (P)	01/12-05/06	SSMB 145	 
20176	BIOL	201L	02	M	0.000	Human Physiology Lab	M	02:00 pm-04:59 pm	24	0	Randall Tyler Grespin (P)	01/12-05/06	SSMB 145	 
20177	BIOL	201L	03	M	0.000	Human Physiology Lab	T	11:00 am-01:59 pm	24	0	Kathleen Elizabeth Janech (P)	01/12-05/06	SSMB 145	 
20178	BIOL	201L	04	M	0.000	Human Physiology Lab	T	02:00 pm-04:59 pm	24	0	Kathleen Elizabeth Janech (P)	01/12-05/06	SSMB 145	 
20179	BIOL	201L	05	M	0.000	Human Physiology Lab	F	10:00 am-12:59 pm	24	1	Jeffrey D Triblehorn (P)	01/12-05/06	SSMB 145	 
22680	BIOL	201L	06	M	0.000	Human Physiology Lab	F	01:00 pm-03:59 pm	24	5	Norma Juliana Salcedo (P)	01/12-05/06	SSMB 145	 
20180	BIOL	202	01	M	4.000	Human Anatomy	TR	08:00 am-09:15 am	144	0	Peyre G Pringle (P)	01/12-05/06	SSMB 129	 
20181	BIOL	202L	01	H	0.000	Human Anatomy Lab	M	11:30 am-02:29 pm	24	0	Peyre G Pringle (P)	01/12-05/06	HWWE 301	 
20182	BIOL	202L	02	H	0.000	Human Anatomy Lab	M	02:30 pm-05:30 pm	24	0	Peyre G Pringle (P)	01/12-05/06	HWWE 301	 
20183	BIOL	202L	03	H	0.000	Human Anatomy Lab	T	11:30 am-02:29 pm	25	0	Jane Price Ellis (P)	01/12-05/06	HWWE 301	 
20184	BIOL	202L	04	H	0.000	Human Anatomy Lab	T	02:30 pm-05:29 pm	23	0	Jane Price Ellis (P)	01/12-05/06	HWWE 301	 
20185	BIOL	202L	05	H	0.000	Human Anatomy Lab	W	11:30 am-02:29 pm	24	0	Jane Price Ellis (P)	01/12-05/06	HWWE 301	 
22677	BIOL	202L	06	H	0.000	Human Anatomy Lab	W	02:30 pm-05:30 pm	24	0	Jane Price Ellis (P)	01/12-05/06	HWWE 301	 
20186	BIOL	204	01	H	3.000	Man and the Environment	MWF	08:30 am-09:20 am	24	9	David R Wiseman (P)	01/12-05/06	HWWE 207	 
20187	BIOL	211	01	H	4.000	Biodiversity, Ecology, and Conservation Biology	TR	12:45 pm-02:00 pm	18	-1	Matthew Thomas Rutter (P), Courtney J Murren	01/12-05/06	HWWE 213	 
20189	BIOL	211	02	H	4.000	Biodiversity, Ecology, and Conservation Biology	TR	12:45 pm-02:00 pm	18	0	Courtney J Murren (P), Matthew Thomas Rutter	01/12-05/06	HWWE 213	 
20190	BIOL	211	03	H	4.000	Biodiversity, Ecology, and Conservation Biology	TR	12:45 pm-02:00 pm	18	1	Courtney J Murren (P), Matthew Thomas Rutter	01/12-05/06	HWWE 213	 
20188	BIOL	211	04	H	4.000	Biodiversity, Ecology, and Conservation Biology	TR	08:30 am-09:45 am	18	0	Erik Sotka (P)	01/12-05/06	HWWE 217	 
20191	BIOL	211	05	H	4.000	Biodiversity, Ecology, and Conservation Biology	MW	01:30 pm-02:45 pm	18	7	Daniel J McGlinn (P)	01/12-05/06	HWWE 211	 
23848	BIOL	211	07	H	4.000	Biodiversity, Ecology, and Conservation Biology	TR	08:30 am-09:45 am	18	6	Erik Sotka (P)	01/12-05/06	HWWE 217	 
20192	BIOL	211D	01	H	0.000	Biodiversity, Ecology, and Conservation Biology Discussion	T	09:55 am-12:44 pm	18	-1	Matthew Thomas Rutter (P)	01/12-05/06	HWWE 307	 
20194	BIOL	211D	02	H	0.000	Biodiversity, Ecology, and Conservation Biology Discussion	T	02:10 pm-05:10 pm	18	0	Courtney J Murren (P)	01/12-05/06	HWWE 307	 
20195	BIOL	211D	03	H	0.000	Biodiversity, Ecology, and Conservation Biology Discussion	R	02:10 pm-05:10 pm	18	1	Courtney J Murren (P)	01/12-05/06	HWWE 307	 
20193	BIOL	211D	04	H	0.000	Biodiversity, Ecology, and Conservation Biology Discussion	R	10:00 am-01:00 pm	18	0	Erik Sotka (P)	01/12-05/06	HWWE 307	 
