CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Rem	Instructor	Date (MM/DD)	Location	Attribute
10107	BIOL	101	01	M	4.000	Concepts and Applications in Biology I	MWF	08:00 am-08:50 am	47	6	Margaret Elizabeth Grant Burton (P)	08/20-12/11	RHSC 218	 
13810	BIOL	101	02	M	4.000	Concepts/Apps in Biology I	MWF	09:00 am-09:50 am	20	2	Erin Richard (P)	08/20-12/11	RHSC 218	Learning Community 8A
13811	BIOL	101	03	M	4.000	Concepts/Apps in Biology I	MWF	09:00 am-09:50 am	20	1	Erin Richard (P)	08/20-12/11	RHSC 218	Learning Community 8B
10109	BIOL	101	04	M	4.000	Concepts and Applications in Biology I	MWF	11:00 am-11:50 am	80	2	Heather Nicole Pritchard (P)	08/20-12/11	RHSC 121	 
10110	BIOL	101	05	M	4.000	Concepts and Applications in Biology I	MWF	12:00 pm-12:50 pm	80	5	Miranda Lynette McManus (P)	08/20-12/11	RHSC 121	 
10111	BIOL	101	06	M	4.000	Concepts and Applications in Biology I	MWF	02:00 pm-02:50 pm	70	20	Miranda Lynette McManus (P)	08/20-12/11	RHSC 121	 
10112	BIOL	101	07	M	4.000	Concepts and Applications in Biology I	TR	08:00 am-09:15 am	80	6	Margaret Elizabeth Grant Burton (P)	08/20-12/11	RHSC 121	 
10113	BIOL	101	08	M	4.000	Concepts and Applications in Biology I	TR	07:00 pm-08:15 pm	36	15	Kaitlin Marie Woodlief (P)	08/20-12/11	RHSC 121	 
10108	BIOL	101L	03	M	0.000	Concepts and Application in Biology I Laboratory	M	10:30 am-01:29 pm	24	2	Brian G Scholtens (P), Alyssa Marie Demko	08/20-12/11	LCTR 339	 
10114	BIOL	101L	05	M	0.000	Concepts and Application in Biology I Laboratory	M	01:30 pm-04:29 pm	24	0	Brian G Scholtens (P), Hannah Bouchillon	08/20-12/11	LCTR 339	 
10126	BIOL	101L	07	M	0.000	Concepts and Application in Biology I Laboratory	M	04:30 pm-07:29 pm	24	1	Brian G Scholtens (P), Hannah Bouchillon	08/20-12/11	LCTR 339	 
10127	BIOL	101L	09	M	0.000	Concepts and Application in Biology I Laboratory	M	07:30 pm-10:30 pm	24	1	Brian G Scholtens (P), Taylor A. Shick	08/20-12/11	LCTR 339	 
10115	BIOL	101L	11	M	0.000	Concepts and Application in Biology I Laboratory	T	07:30 am-10:29 am	24	2	Brian G Scholtens (P), Megan Elizabeth Meek	08/20-12/11	LCTR 339	 
