CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Rem	Instructor	Date (MM/DD)	Location	Attribute
10070	BIOL	101	04	M	3.000	Concepts/Apps in Biolo	MWF	10:00 am-10:50 am	81	1	Andrew M Shedlock (P)	08/20-12/11	RITA 101	 
10071	BIOL	101	05	M	3.000	Concepts and Applications in Biology I	MWF	12:00 pm-12:50 pm	81	0	Amanda D Kelley (P)	08/20-12/11	RITA 101	 
10072	BIOL	101	06	M	3.000	Concepts and Applications in Biology I	MWF	01:00 pm-01:50 pm	129	6	Farahdiba Jafri (P)	08/20-12/11	RITA 101	 
10080	BIOL	101L	07	M	1.000	Concepts and Applications in Biology I Lab	M	04:30 pm-07:30 pm	24	1	Brian G Scholtens (P), John S Peters , Josiah Christopher Waters	08/20-12/11	LCTR 339	 
14131	BIOL	101L	09	M	1.000	Concepts and Applications in Biology I Lab	M	07:30 pm-10:30 pm	24	2	Brian G Scholtens (P), John S Peters , Josiah Christopher Waters	08/20-12/11	LCTR 339	 
10074	BIOL	101L	11	M	1.000	Concepts and Applications in Biology I Lab	T	07:30 am-10:30 am	24	0	Brian G Scholtens (P), Delaney Marie Drake , John S Peters	08/20-12/11	LCTR 339	 
10075	BIOL	101L	13	M	1.000	Concepts and Applications in Biology I Lab	T	10:30 am-01:30 pm	24	1	Brian G Scholtens (P), Delaney Marie Drake , John S Peters	08/20-12/11	LCTR 339	 
10073	BIOL	101L	15	M	1.000	Concepts and Applications in Biology I Lab	T	01:30 pm-04:30 pm	24	1	Brian G Scholtens (P), John S Peters , Michael Thienes	08/20-12/11	LCTR 339	 
10076	BIOL	101L	17	M	1.000	Concepts and Applications in Biology I Lab	T	04:30 pm-07:30 pm	24	0	Brian G Scholtens (P), John S Peters , Michael Thienes	08/20-12/11	LCTR 339	 
12834	BIOL	101L	19	M	1.000	Concepts and Applications in Biology I Lab	T	07:30 pm-10:30 pm	24	1	Brian G Scholtens (P), Julie Michelle Loewenstein , John S Peters	08/20-12/11	LCTR 339	 
10081	BIOL	101L	27	M	1.000	Concepts and Applications in Biology I Lab	W	04:30 pm-07:30 pm	24	0	Brian G Scholtens (P), Evan Carlisle Ashe , John S Peters	08/20-12/11	LCTR 339	 
10077	BIOL	101L	29	M	1.000	Concepts and Applications in Biology I Lab	W	07:30 pm-10:30 pm	24	0	Brian G Scholtens (P), John S Peters , Josiah Christopher Waters	08/20-12/11	LCTR 339	 
11260	BIOL	101L	31	M	1.000	Concepts and Applications in Biology I Lab	R	07:30 am-10:30 am	24	1	Brian G Scholtens (P), Evan Carlisle Ashe , John S Peters	08/20-12/11	LCTR 339	 
10078	BIOL	101L	33	M	1.000	Concepts and Applications in Biology I Lab	R	10:30 am-01:30 pm	24	1	Brian G Scholtens (P), Evan Carlisle Ashe , John S Peters	08/20-12/11	LCTR 339	 
10079	BIOL	101L	35	M	1.000	Concepts and Applications in Biology I Lab	R	01:30 pm-04:30 pm	24	1	Brian G Scholtens (P), John S Peters , Michael Thienes	08/20-12/11	LCTR 339	 
10082	BIOL	102	01	M	3.000	Concepts and Applications in Biology II	TR	10:50 am-12:05 pm	120	3	Miranda Lynette McManus (P)	08/20-12/11	RITA 101	 
10083	BIOL	102	02	M	3.000	Concepts and Applications in Biology II	MW	03:25 pm-04:40 pm	40	1	William A Roumillat (P)	08/20-12/11	RITA 154	 
14130	BIOL	102	03	M	3.000	Concepts and Applications in Biology II	TR	01:40 pm-02:55 pm	30	1	Miranda Lynette McManus (P)	08/20-12/11	RITA 102	 
10084	BIOL	102L	05	M	1.000	Concepts and Applications in Biology II Lab	M	01:30 pm-04:30 pm	24	0	Brian G Scholtens (P), Robin Minch , John S Peters	08/20-12/11	LCTR 341	 
10086	BIOL	102L	07	M	1.000	Concepts and Applications in Biology II Lab	M	04:30 pm-07:30 pm	24	2	Brian G Scholtens (P), Robin Minch , John S Peters	08/20-12/11	LCTR 341	 
12583	BIOL	102L	15	M	1.000	Concepts and Applications in Biology II Lab	T	01:30 pm-04:30 pm	24	0	Brian G Scholtens (P), John S Peters , Jessica Ramirez	08/20-12/11	LCTR 341	 
10087	BIOL	102L	17	M	1.000	Concepts and Applications in Biology II Lab	T	04:30 pm-07:30 pm	24	0	Brian G Scholtens (P), John S Peters , Caroline Tribble	08/20-12/11	LCTR 341	 
10085	BIOL	102L	25	M	1.000	Concepts and Applications in Biology II Lab	W	01:30 pm-04:30 pm	24	0	Brian G Scholtens (P), John S Peters , Caroline Tribble	08/20-12/11	LCTR 341	 
10088	BIOL	102L	27	M	1.000	Concepts and Applications in Biology II Lab	W	04:30 pm-07:30 pm	24	1	Brian G Scholtens (P), John S Peters , Caroline Tribble	08/20-12/11	LCTR 341	 
13305	BIOL	102L	35	M	1.000	Concepts and Applications in Biology II Lab	R	01:30 pm-04:30 pm	24	1	Brian G Scholtens (P), John S Peters , Jessica Ramirez	08/20-12/11	LCTR 341	 
11707	BIOL	102L	43	M	1.000	Concepts and Applications in Biology II Lab	F	10:30 am-01:30 pm	24	4	Brian G Scholtens (P), Robin Minch , John S Peters	08/20-12/11	LCTR 341	 
