CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Rem	Instructor	Date (MM/DD)	Location	Attribute
10310	EVSS	601	01	M	3.000	Economic Theory for Policy Analysis	TR	04:00 pm-05:15 pm	20	8	James Wesley Burnett (P)	08/25-12/16	ECTR 103	 
10311	EVSS	602	01	M	3.000	Public Policy	T	05:00 pm-07:45 pm	10	0	Matthew C Nowlin (P)	08/25-12/16	MYBK 111	 
10312	EVSS	605	01	M	3.000	Environmental Law and Regulatory Policy	MW	04:00 pm-05:15 pm	20	11	Lindeke S Mills (P)	08/25-12/16	MYBK 322	 
10313	EVSS	610	01	M	3.000	Environmental Biology	TR	03:05 pm-04:20 pm	20	11	Courtney J Murren (P)	08/25-12/16	BELL 321	 
13777	EVSS	627	01	G	4.000	Marine Tetrapod Biology	T	01:30 pm-04:30 pm	6	2	Andrew M Shedlock (P)	08/25-12/16	GMLM 202	 
13778	EVSS	627L	01	G	0.000	Marine Tetrapod Biology	R	01:30 pm-04:30 pm	6	2	Andrew M Shedlock (P)	08/25-12/16	GMLM 202	 
11984	EVSS	629	01	H	3.000	Conservation Biology	MWF	08:30 am-09:20 am	5	4	Dougald Archibald McCallum (P)	08/25-12/16	HWWE 307	 
11480	EVSS	631	01	M	4.000	Pollution in the Environment	MWF	12:00 pm-12:50 pm	14	12	Vijay M Vulava (P)	08/25-12/16	SSMB 253	 
12439	EVSS	631L	01	M	0.000	Pollution in the Environment Lab	W	02:00 pm-05:00 pm	14	12	Vijay M Vulava (P)	08/25-12/16	SSMB 241	 
11898	EVSS	632	01	M	3.000	Social Science Methods in Environmental Studies	W	05:00 pm-07:45 pm	15	1	Annette M Watson (P)	08/25-12/16	MYBK 208	 
10316	EVSS	646	01	M	2.000	Graduate Core Seminar	T	05:30 pm-07:10 pm	16	4	Barbara Austin Beckingham (P), Pamela Susan Lovelace	08/25-12/16	SSMB 215	 
10317	EVSS	649	01	M	4.000	Geographic Information Systems	T	02:00 pm-05:00 pm	8	1	Khalid A Ali (P)	08/25-12/16	SSMB 255	 
10318	EVSS	649	02	M	4.000	Geographic Information Systems	M	05:15 pm-08:15 pm	8	5	Norman S Levine (P)	08/25-12/16	SSMB 255	 
10319	EVSS	649L	01	M	0.000	Geographic Information Systems	R	02:00 pm-05:00 pm	8	1	Khalid A Ali (P)	08/25-12/16	SSMB 255	 
10320	EVSS	649L	02	M	0.000	Geographic Information Systems	W	05:15 pm-08:15 pm	8	5	Norman S Levine (P)	08/25-12/16	SSMB 255	 
14034	EVSS	690	01	M	3.000	Blueways-Greenways: Developing Examples as Models for Other Communities	 	TBA	0	-1	Norman S Levine (P)	08/25-12/16	TBA	 
