CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Rem	Instructor	Date (MM/DD)	Location	Attribute
10143	BIOL	101	01	M	4.000	Concepts and Applications in Biology I	MWF	08:00 am-08:50 am	40	6	Jennifer Ann Schepp (P)	08/23-12/14	RHSC 218	 
10145	BIOL	101	02	M	4.000	Math and Life: Understanding Biology Through Statistics	MWF	10:00 am-10:50 am	20	4	Miranda Lynette McManus (P)	08/23-12/14	RHSC 123	Learning Community 26A
10146	BIOL	101	03	M	4.000	Math and Life: Understanding Biology Through Statistics	MWF	10:00 am-10:50 am	20	10	Miranda Lynette McManus (P)	08/23-12/14	RHSC 123	Learning Community 26B
10147	BIOL	101	04	M	4.000	Concepts and Applications in Biology I	MWF	11:00 am-11:50 am	80	6	Miranda Lynette McManus (P)	08/23-12/14	RHSC 123	 
10148	BIOL	101	05	M	4.000	Concepts and Applications in Biology I	MWF	12:00 pm-12:50 pm	80	7	Miranda Lynette McManus (P)	08/23-12/14	RHSC 123	 
10149	BIOL	101	06	M	4.000	Concepts and Applications in Biology I	MWF	02:00 pm-02:50 pm	80	6	Jennifer Ann Schepp (P)	08/23-12/14	RHSC 121	 
10150	BIOL	101	07	M	4.000	Concepts and Applications in Biology I	TR	08:00 am-09:15 am	40	5	Jennifer Ann Schepp (P)	08/23-12/14	RHSC 121	 
10151	BIOL	101	08	M	4.000	Concepts and Applications in Biology I	TR	10:50 am-12:05 pm	40	2	John S Peters (P)	08/23-12/14	LCTR B08	 
14740	BIOL	101	09	M	4.000	Concepts and Applications in Biology I	MWF	11:00 am-11:50 am	40	24	Tina M Bell (P)	08/23-12/14	RHSC 239	 
14284	BIOL	101	11	M	4.000	Math and Life: Understanding Biology Through Statistics	MWF	10:00 am-10:50 am	20	3	Miranda Lynette McManus (P)	08/23-12/14	RHSC 123	Learning Community 27B
14287	BIOL	101	12	M	4.000	Math and Life: Understanding Biology Through Statistics	MWF	10:00 am-10:50 am	20	0	Miranda Lynette McManus (P)	08/23-12/14	RHSC 123	Learning Community 27A
