CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Rem	Instructor	Date (MM/DD)	Location	Attribute
10143	BIOL	101	1	M	4.000	Concepts and Applications in Biology I	MWF	08:00 am-08:50 am	40	19	Miranda Lynette McManus (P)	08/24-12/15	RHSC 218	 
10145	BIOL	101	2	M	4.000	Concepts and Applications in Biology I	MWF	09:00 am-09:50 am	40	0	Melanie Joan Gouzoules (P)	08/24-12/15	RSS 105	 
10146	BIOL	101	3	M	4.000	Concepts and Applications in Biology I	MWF	10:00 am-10:50 am	80	2	Heather Nicole Pritchard (P)	08/24-12/15	RHSC 123	 
10147	BIOL	101	4	M	4.000	Concepts and Applications in Biology I	MWF	11:00 am-11:50 am	80	5	Heather Nicole Pritchard (P)	08/24-12/15	MYBK 100	 
10148	BIOL	101	5	M	4.000	Concepts and Applications in Biology I	MWF	12:00 pm-12:50 pm	80	31	Miranda Lynette McManus (P)	08/24-12/15	MYBK 100	 
10149	BIOL	101	6	M	4.000	Concepts and Applications in Biology I	MWF	02:00 pm-02:50 pm	80	39	Miranda Lynette McManus (P)	08/24-12/15	RHSC 121	 
10150	BIOL	101	7	M	4.000	Concepts and Applications in Biology I	TR	08:00 am-09:15 am	40	2	Jennifer Ann Schepp (P)	08/24-12/15	MYBK 100	 
10151	BIOL	101	8	M	4.000	Concepts and Applications in Biology I	TR	12:15 pm-01:30 pm	40	3	Jennifer Ann Schepp (P)	08/24-12/15	MYBK 100	 
10144	BIOL	101L	1	M	0.000	Concepts and Application in Biology I Laboratory	M	10:30 am-01:30 pm	24	4	Brian G Scholtens (P), Marin Elizabeth Hawk	08/24-12/15	LCTR 339	 
10158	BIOL	101L	11	M	0.000	Concepts and Application in Biology I Laboratory	W	10:30 am-01:30 pm	24	5	Brian G Scholtens (P), Marin Elizabeth Hawk	08/24-12/15	LCTR 339	 
10157	BIOL	101L	12	M	0.000	Concepts and Application in Biology I Laboratory	W	01:30 pm-04:30 pm	24	0	Brian G Scholtens (P), Sarah Marie Doty	08/24-12/15	LCTR 339	 
10169	BIOL	101L	13	M	0.000	Concepts and Application in Biology I Laboratory	W	04:30 pm-07:30 pm	24	0	Brian G Scholtens (P), Sarah Marie Doty	08/24-12/15	LCTR 339	 
10170	BIOL	101L	14	M	0.000	Concepts and Application in Biology I Laboratory	W	07:30 pm-10:30 pm	0	0	Brian G Scholtens (P)	08/24-12/15	LCTR 339	 
10161	BIOL	101L	15	M	0.000	Concepts and Application in Biology I Laboratory	R	07:30 am-10:30 am	24	3	Brian G Scholtens (P), Rachel Marie Herold	08/24-12/15	LCTR 339	 
10162	BIOL	101L	16	M	0.000	Concepts and Application in Biology I Laboratory	R	10:30 am-01:30 pm	24	0	Brian G Scholtens (P), Melanie Lea Hedgespeth	08/24-12/15	LCTR 339	 
10163	BIOL	101L	17	M	0.000	Concepts and Application in Biology I Laboratory	R	01:30 pm-04:30 pm	24	1	Brian G Scholtens (P), Leslie Noyes Wickes	08/24-12/15	LCTR 339	 
10159	BIOL	101L	18	M	0.000	Concepts and Application in Biology I Laboratory	R	04:30 pm-07:30 pm	24	1	Brian G Scholtens (P), Marin Elizabeth Hawk	08/24-12/15	LCTR 339	 
10160	BIOL	101L	19	M	0.000	Concepts and Application in Biology I Laboratory	R	07:30 pm-10:30 pm	24	4	Brian G Scholtens (P), Weatherly Anne Meadors	08/24-12/15	LCTR 339	 
10153	BIOL	101L	2	M	0.000	Concepts and Application in Biology I Laboratory	M	01:30 pm-04:30 pm	24	4	Brian G Scholtens (P), Leslie Noyes Wickes	08/24-12/15	LCTR 339	 
10164	BIOL	101L	21	M	0.000	Concepts and Application in Biology I Laboratory	F	01:30 pm-04:30 pm	0	0	Brian G Scholtens (P)	08/24-12/15	LCTR 339	 
10165	BIOL	101L	3	M	0.000	Concepts and Application in Biology I Laboratory	M	04:30 pm-07:30 pm	24	2	Brian G Scholtens (P), Leslie Noyes Wickes	08/24-12/15	LCTR 339	 
10166	BIOL	101L	4	M	0.000	Concepts and Application in Biology I Laboratory	M	07:30 pm-10:30 pm	24	2	Brian G Scholtens (P), Weatherly Anne Meadors	08/24-12/15	LCTR 339	 
10154	BIOL	101L	5	M	0.000	Concepts and Application in Biology I Laboratory	T	07:30 am-10:30 am	24	2	Brian G Scholtens (P), Rachel Marie Herold	08/24-12/15	LCTR 339	 
10155	BIOL	101L	6	M	0.000	Concepts and Application in Biology I Laboratory	T	10:30 am-01:30 pm	24	1	Brian G Scholtens (P), Melanie Lea Hedgespeth	08/24-12/15	LCTR 339	 
10156	BIOL	101L	7	M	0.000	Concepts and Application in Biology I Laboratory	T	01:30 pm-04:30 pm	24	-1	Brian G Scholtens (P), Melanie Lea Hedgespeth	08/24-12/15	LCTR 339	 
10167	BIOL	101L	8	M	0.000	Concepts and Application in Biology I Laboratory	T	04:30 pm-07:30 pm	24	1	Brian G Scholtens (P), Weatherly Anne Meadors	08/24-12/15	LCTR 339	 
10168	BIOL	101L	9	M	0.000	Concepts and Application in Biology I Laboratory	T	07:30 pm-10:30 pm	24	1	Brian G Scholtens (P), Sarah Marie Doty	08/24-12/15	LCTR 339	 
10171	BIOL	102	1	M	4.000	Concepts and Applications in Biology II	MWF	08:00 am-08:50 am	40	14	Matthew Thomas Rutter (P)	08/24-12/15	RHSC 239	 
10172	BIOL	102	2	M	4.000	Concepts and Applications in Biology II	MWF	09:00 am-09:50 am	80	3	Jennifer Ann Schepp (P)	08/24-12/15	MYBK 100	 
