CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Rem	Instructor	Date (MM/DD)	Location	Attribute
13833	EVSS	506	01	H	3.000	Conservation Biology	MWF	10:30 am-11:20 am	12	10	Dougald Archibald McCallum (P)	08/23-12/14	HWWE 211	 
13838	EVSS	541	01	M	4.000	Pollution in the Environment	MWF	12:00 pm-12:50 pm	12	5	Vijay M Vulava (P)	08/23-12/14	SSMB 253	 
13839	EVSS	541L	01	M	0.000	Pollution in Environment Lab	M	02:00 pm-05:00 pm	12	5	Vijay M Vulava (P)	08/23-12/14	SSMB 241	 
13821	EVSS	544	01	M	4.000	Plant Ecology	MW	01:00 pm-02:15 pm	8	7	Courtney J Murren (P)	08/23-12/14	SSMB 200	 
13823	EVSS	544L	01	M	0.000	Plant Ecology	W	02:25 pm-05:25 pm	8	7	Courtney J Murren (P)	08/23-12/14	SSMB 200	 
13846	EVSS	549	01	M	4.000	Geographic Information Systems	T	02:00 pm-05:00 pm	9	3	Norman S Levine (P)	08/23-12/14	SSMB 255	 
13848	EVSS	549L	01	M	0.000	Geographic Information Systems	R	02:00 pm-05:00 pm	9	3	Norman S Levine (P)	08/23-12/14	SSMB 255	 
10287	EVSS	601	01	M	3.000	Econ Theory For Policy Analysi	TR	04:00 pm-05:15 pm	20	11	James Wesley Burnett (P)	08/23-12/14	ECTR 101	 
10288	EVSS	602	01	M	3.000	Public Policy	M	05:30 pm-08:15 pm	10	-10	Matthew C Nowlin (P)	08/23-12/14	ECTR 111	 
10289	EVSS	605	01	M	3.000	Environ. Law/Regulatory Policy	MW	04:00 pm-05:15 pm	15	11	Lindeke S Mills (P)	08/23-12/14	ECTR 114	 
13456	EVSS	606	01	M	3.000	Wildlife Law	MW	02:00 pm-03:15 pm	20	16	Lindeke S Mills (P)	08/23-12/14	RSS 105	 
10290	EVSS	610	01	M	3.000	Environmental Biology	TR	03:05 pm-04:20 pm	20	4	Courtney J Murren (P)	08/23-12/14	RSS 102	 
13980	EVSS	622	01	G	4.000	Ecology of Marine Organisms	MW	08:30 am-10:00 am	4	3	Craig J Plante (P)	08/23-12/14	GMLM 202	 
13982	EVSS	622L	02	G	0.000	Ecology of Marine Organisms	W	02:00 pm-05:00 pm	2	1	Craig J Plante (P)	08/23-12/14	GMLM 101	 
14009	EVSS	632	01	O	3.000	Soc Sci Methods in Env Studies	 	ONL	15	6	William R Veal (P), Annette M Watson	08/23-12/14	ONLINE	 
