CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Rem	Instructor	Date (MM/DD)	Location	Attribute
20989	EVSS	601	01	M	3.000	Econ Theory For Policy Analysi	M	05:30 pm-08:15 pm	14	3	Richard A Bilas (P)	01/09-05/02	RSS 249	 
20990	EVSS	602	01	M	3.000	Public Policy	TR	01:40 pm-02:55 pm	14	3	Lindeke S Mills (P)	01/09-05/02	MYBK 105	 
22422	EVSS	602	02	M	3.000	Public Policy	W	05:30 pm-08:15 pm	5	2	Jo Ann G Ewalt (P)	01/09-05/02	ECTR 108	 
20991	EVSS	607	01	M	3.000	Administrative Law	MW	04:00 pm-05:15 pm	15	11	Lindeke S Mills (P)	01/09-05/02	BELL 403	 
20992	EVSS	624	01	G	4.000	Biometry	TR	09:00 am-10:25 am	5	-3	Allan Edgar Strand (P)	01/09-05/02	GMLM 101	 
20993	EVSS	624L	01	G	0.000	Biometry	T	10:30 am-01:30 pm	5	-3	Allan Edgar Strand (P)	01/09-05/02	GMLM 101	 
20995	EVSS	630	01	M	3.000	Natural Resources Law And Poli	TR	04:00 pm-05:15 pm	15	11	Lindeke S Mills (P)	01/09-05/02	MYBK 223	 
24244	EVSS	632	01	M	3.000	Soc Sci Methods in Env Studies	R	05:30 pm-08:30 pm	20	1	Annette M Watson (P)	01/09-05/02	ECTR 115	 
24192	EVSS	638	01	M	4.000	Introductory Hydrogeology	TR	10:50 am-12:05 pm	8	6	Timothy J Callahan (P)	01/09-05/02	SSMB 239	 
24193	EVSS	638L	01	M	0.000	Introductory Hydrogeology	R	02:00 pm-05:00 pm	4	2	Timothy J Callahan (P)	01/09-05/02	RHSC 341	 
24190	EVSS	642	01	M	4.000	Geological App Of Remote Sensi	W	02:00 pm-05:00 pm	6	5	David John Chadwick (P)	01/09-05/02	SSMB 239	 
24191	EVSS	642L	01	M	0.000	Geological App of Remote Sens	F	01:00 pm-04:00 pm	6	5	David John Chadwick (P)	01/09-05/02	SSMB 239	 
21000	EVSS	646	01	M	2.000	Graduate Core Seminar	T	05:30 pm-07:20 pm	14	4	Pamela Susan Lovelace (P), Timothy J Callahan	01/09-05/02	SSMB 138	 
21001	EVSS	649	01	M	4.000	Geographic Information Systems	T	02:00 pm-05:00 pm	12	6	Khalid A Ali (P)	01/09-05/02	SSMB 241	 
21002	EVSS	649L	01	M	0.000	Geographic Information Systems	R	02:00 pm-05:00 pm	12	7	Khalid A Ali (P)	01/09-05/02	SSMB 241	 
