CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Rem	Instructor	Date (MM/DD)	Location	Attribute
10097	BIOL	101	01	H	4.000	Concepts and Applications in Biology I	MWF	08:30 am-09:20 am	75	14	Heather Nicole Pritchard (P)	08/19-12/10	HWWE 213	 
13696	BIOL	101	02	M	4.000	Concepts/Apps in Biolo	MWF	11:30 am-12:20 pm	17	1	Heather Nicole Pritchard (P)	08/19-12/10	HWWE 213	 
10099	BIOL	101	04	H	4.000	Concepts/Apps in Biolo	MWF	11:30 am-12:20 pm	18	2	Heather Nicole Pritchard (P)	08/19-12/10	HWWE 213	 
10100	BIOL	101	05	H	4.000	Concepts and Applications in Biology I	MWF	12:30 pm-01:20 pm	80	27	Heather Nicole Pritchard (P)	08/19-12/10	HWWE 213	 
10101	BIOL	101	06	H	4.000	Concepts and Applications in Biology I	TR	03:30 pm-04:45 pm	40	6	Walter Marshall Blair (P), Bharathi Viswanathan	08/19-12/10	HWWE 213	 
10102	BIOL	101	07	H	4.000	Concepts and Applications in Biology I	MW	03:35 pm-04:50 pm	35	4	Walter Marshall Blair (P)	08/19-12/10	HWWE 213	 
10103	BIOL	101	08	H	4.000	Concepts and Applications in Biology I	TR	07:00 pm-08:15 pm	34	9	Walter Marshall Blair (P)	08/19-12/10	HWWE 213	 
13739	BIOL	101	09	H	4.000	Concepts and Applications in Biology I	MWF	11:30 am-12:20 pm	40	2	Heather Nicole Pritchard (P)	08/19-12/10	HWWE 213	 
10098	BIOL	101L	03	M	0.000	Concepts and Application in Biology I Laboratory	M	10:30 am-01:29 pm	21	6	Brian G Scholtens (P), Taylor A. Shick	08/19-12/10	LCTR 339	 
10104	BIOL	101L	05	M	0.000	Concepts and Application in Biology I Laboratory	M	01:30 pm-04:29 pm	21	4	Brian G Scholtens (P), Jordan Noelle Taylor	08/19-12/10	LCTR 339	 
